0.01,0.3276666666666667,0.014146063449281961
0.0147,0.395,0.0023094010767585054
0.0215,0.444,0.004358898943540678
0.0316,0.42933333333333334,0.011259563836036369
0.0464,0.39433333333333337,0.015495519065559281
0.0681,0.36366666666666675,0.012810585900383753
0.1,0.325,0.012165525060596436
0.147,0.29000000000000004,0.010692676621563622
0.215,0.248,0.008660254037844387
0.316,0.21533333333333335,0.006641619615057098
0.464,0.18733333333333335,0.005206833117271108
0.681,0.16333333333333333,0.0037564758898615516
1.0,0.1426666666666667,0.002905932629027111
1.47,0.124,0.0023094010767585054
2.15,0.107,0.001732050807568879
3.16,0.0916,0.0013316656236958806
4.64,0.0789,0.0010115993936995649
6.81,0.06756666666666666,0.0007512951779723112
10.0,0.05786666666666667,0.0006641619615057082
14.7,0.04926666666666666,0.00046666666666666785
21.5,0.04186666666666666,0.0003527668414752788
31.6,0.03553333333333334,0.0002728450923957478
46.4,0.030166666666666665,0.00018559214542766743
68.1,0.025666666666666667,0.0001333333333333337
100.0,0.021900000000000003,9.99999999999994e-05
147.0,0.018666666666666668,8.819171036882024e-05
215.0,0.01593333333333333,3.333333333333313e-05
316.0,0.013733333333333334,3.333333333333313e-05
464.0,0.0118,0.0
681.0,0.010233333333333334,3.333333333333313e-05
1000.0,0.008913333333333334,1.4529663145135519e-05
