Name:;;;20230526_P3_1 7,
Number of Intervals:;;;1,
Application:;;;RHEOPLUS/32 V3.61 21006227-33024,
Device:;;;MCR302 SN81156610; FW3.65; Slot(9,-1)
Measuring Date/Time:;;;2024/02/26; 17:54  ã,
Measuring System:;;;CP50-2-SN42594; d=0.206 mm,
Accessories:;;;TU1=P-PTD200-SN81263554,
,
Interval:;;;1,
Number of Data Points:;;;37,
,
Time Setting:;;;37 Meas. Pts.,
;;;Meas. Pt. Duration 5 ... 120 s log,
Measuring Profile:,
  Shear Rate;;;d(gamma)/dt = 1000 ... 0.001 1/s log; |Slope| = 6 Pt. / dec ,
,
Meas. Pts.;Shear Rate;Shear Stress;Viscosity;Speed;Torque;Status,
;[1/s];[Pa];[PaEs];[1/min];[ÊNm];[],
1;1000;14.8;0.0148;334;485;Dy_auto,
2;681;11.7;0.0171;227;382;Dy_auto,
3;464;9.29;0.02;155;304;Dy_auto,
4;316;7.46;0.0236;105;245;Dy_auto,
5;215;6.03;0.028;71.9;198;Dy_auto,
6;147;4.9;0.0334;49;161;Dy_auto,
7;100;4.01;0.0401;33.4;131;Dy_auto,
8;68.1;3.29;0.0483;22.7;108;Dy_auto,
9;46.4;2.71;0.0585;15.5;89;Dy_auto,
10;31.6;2.24;0.0709;10.6;73.4;Dy_auto,
11;21.5;1.85;0.0859;7.19;60.6;Dy_auto,
12;14.7;1.53;0.104;4.9;50;Dy_auto,
13;10;1.26;0.126;3.34;41.4;Dy_auto,
14;6.81;1.04;0.153;2.27;34.1;Dy_auto,
15;4.64;0.857;0.185;1.55;28.1;Dy_auto,
16;3.16;0.705;0.223;1.06;23.1;Dy_auto,
17;2.15;0.58;0.269;0.719;19;Dy_auto,
18;1.47;0.476;0.324;0.49;15.6;Dy_auto,
19;1;0.389;0.389;0.334;12.8;Dy_auto,
20;0.681;0.318;0.467;0.227;10.4;Dy_auto,
21;0.464;0.26;0.559;0.155;8.51;Dy_auto,
22;0.316;0.212;0.671;0.106;6.95;Dy_auto,
23;0.215;0.173;0.804;0.0719;5.68;Dy_auto,
24;0.147;0.141;0.963;0.049;4.63;Dy_auto,
25;0.1;0.116;1.16;0.0334;3.8;Dy_auto,
26;0.0681;0.095;1.39;0.0227;3.11;Dy_auto,
27;0.0464;0.078;1.68;0.0155;2.55;Dy_auto,
28;0.0316;0.0642;2.03;0.0106;2.1;Dy_auto,
29;0.0215;0.0535;2.48;0.00719;1.75;Dy_auto,
30;0.0147;0.045;3.07;0.0049;1.47;Dy_auto,
31;0.01;0.0378;3.78;0.00334;1.24;Dy_auto,
32;0.00681;0.0323;4.74;0.00227;1.06;Dy_auto,
33;0.00464;0.0282;6.07;0.00155;0.923;Dy_auto,
34;0.00316;0.0246;7.78;0.00106;0.807;Dy_auto,
35;0.00215;0.022;10.2;0.000718;0.72;Dy_auto,
36;0.00146;0.0195;13.3;0.000488;0.639;Dy_auto,
37;0.001;0.0176;17.5;0.000335;0.577;Dy_auto,
,
